id,idade,horas_uso_diario,tempo_redes_sociais,horas_sono,uso_madrugada,modelo_dispositivo,nivel_uso,qualidade_sono
37,33,2.3,0.8,,1,Samsung Galaxy A54,leve,bom
38,30,1.0,0.3,8.0,0,Realme 11 Pro,leve,bom
39,37,10.7,8.3,5.3,1,Motorola Edge 40,muito_intenso,ruim
40,43,8.0,2.5,6.7,0,Realme 11 Pro,intenso,bom
41,59,9.0,4.9,4.8,1,Xiaomi Redmi Note 12,intenso,ruim
42,48,4.2,1.4,7.6,0,Samsung Galaxy S24,moderado,bom
43,55,7.6,5.1,5.0,1,Samsung Galaxy A54,intenso,ruim
44,48,5.7,3.7,5.3,1,Samsung Galaxy A54,moderado,ruim
45,59,5.4,0.7,5.9,1,ASUS Zenfone 10,moderado,bom
46,28,,2.5,6.0,1,Google Pixel 8,intenso,ruim
47,30,2.9,,6.1,1,Realme 11 Pro,leve,ruim
48,54,5.3,1.9,8.0,0,Samsung Galaxy S24,moderado,bom
49,63,12.7,7.7,6.1,0,Samsung Galaxy A54,muito_intenso,bom
50,33,5.1,1.0,7.8,0,Samsung Galaxy S24,moderado,bom
51,61,4.2,1.2,6.4,0,iPhone 15 Pro,moderado,bom
52,64,7.9,6.0,5.6,1,Realme 11 Pro,intenso,ruim
53,54,12.9,2.9,5.0,1,OnePlus 11,muito_intenso,ruim
54,24,13.2,9.6,4.6,1,Samsung Galaxy S24,muito_intenso,ruim
55,19,4.0,1.5,8.2,0,iPhone 14,moderado,bom
56,46,1.8,1.4,7.8,0,iPhone 15 Pro,leve,bom
57,31,0.6,0.2,7.6,0,Xiaomi Redmi Note 12,leve,bom
58,65,20,3.7,7.4,0,ASUS Zenfone 10,moderado,bom
59,17,13.5,9.8,5.9,1,Xiaomi Redmi Note 12,muito_intenso,ruim
60,59,6.5,5.1,6.6,0,Realme 11 Pro,intenso,bom
61,57,5.5,3.6,6.6,1,Realme 11 Pro,moderado,bom
62,57,5.4,2.4,7.1,0,Samsung Galaxy A54,moderado,bom
63,21,4.4,2.7,7.1,0,Motorola Edge 40,moderado,bom
64,27,4.1,0.9,7.7,0,Realme 11 Pro,moderado,bom
65,28,2.3,1.0,7.4,0,iPhone 15 Pro,leve,bom
66,21,4.2,0.9,7.0,0,Realme 11 Pro,moderado,bom
67,37,4.4,1.1,6.5,1,Samsung Galaxy S24,moderado,bom
68,28,4.5,2.6,7.3,0,Samsung Galaxy A54,moderado,bom
69,34,3.5,0.1,8.0,0,Samsung Galaxy S24,moderado,bom
70,56,12.9,9.0,5.1,1,OnePlus 11,muito_intenso,ruim
71,23,7.6,0.5,6.3,0,Samsung Galaxy A54,intenso,bom
72,23,7.7,3.7,6.2,0,Xiaomi Redmi Note 12,intenso,bom
73,53,11.8,5.9,4.8,1,iPhone 14,muito_intenso,ruim
74,26,4.7,0.7,7.2,0,Xiaomi Redmi Note 12,moderado,bom
75,61,5.6,0.4,5.2,1,Samsung Galaxy A54,moderado,ruim
76,43,1.1,,7.8,0,ASUS Zenfone 10,leve,bom
77,34,4.4,1.1,6.9,0,ASUS Zenfone 10,moderado,bom
78,18,14.4,7.0,4.0,1,Xiaomi Redmi Note 12,muito_intenso,ruim
79,52,,1.0,7.5,0,OnePlus 11,leve,bom
80,21,4.2,1.1,-3,1,Realme 11 Pro,moderado,ruim
81,18,3.9,1.1,6.2,0,Realme 11 Pro,moderado,bom
82,45,3.6,1.1,7.5,0,Realme 11 Pro,moderado,bom
83,24,12.6,7.1,5.6,1,Realme 11 Pro,muito_intenso,ruim
84,42,3.0,2.2,6.4,0,Realme 11 Pro,leve,bom
85,61,5.5,4.3,6.7,1,Samsung Galaxy S24,moderado,ruim
86,20,5.4,1.9,7.3,0,Xiaomi Redmi Note 12,moderado,bom
87,150,8.6,6.0,5.9,1,Motorola Edge 40,intenso,ruim
88,28,11.4,3.6,6.0,0,Google Pixel 8,muito_intenso,ruim
89,40,14.8,7.8,5.8,1,OnePlus 11,muito_intenso,ruim
90,22,4.4,2.6,7.6,0,Xiaomi Redmi Note 12,moderado,bom
91,37,7.6,0.6,6.3,1,OnePlus 11,intenso,ruim
92,50,0.7,0.4,8.4,0,iPhone 14,leve,bom
93,44,1.2,0.1,7.2,0,Google Pixel 8,leve,bom
94,52,6.7,1.0,6.8,0,ASUS Zenfone 10,intenso,bom
95,25,4.9,1.9,7.6,0,iPhone 14,moderado,bom
96,44,15.9,3.9,5.2,0,Google Pixel 8,muito_intenso,ruim
97,46,1.5,0.5,8.5,0,Google Pixel 8,leve,bom
98,33,2.7,1.7,8.7,0,Samsung Galaxy A54,leve,bom
99,54,6.9,1.1,5.6,1,iPhone 14,intenso,ruim
100,56,7.2,2.6,7.2,0,Google Pixel 8,intenso,bom
101,27,5.4,3.8,7.1,0,OnePlus 11,,bom
102,34,7.4,0.8,6.8,0,,intenso,bom
103,150,5.4,0.2,6.9,0,ASUS Zenfone 10,moderado,bom
104,40,9.8,0.9,5.0,1,iPhone 14,intenso,ruim
105,56,9.6,2.4,4.6,1,Realme 11 Pro,intenso,ruim
106,24,4.1,3.1,6.8,0,Google Pixel 8,moderado,bom
107,57,1.7,0.6,6.5,0,Motorola Edge 40,leve,bom
108,22,12.2,8.8,5.5,1,iPhone 14,muito_intenso,ruim
109,58,4.9,3.8,5.8,1,Realme 11 Pro,moderado,ruim
110,29,9.3,1.8,6.3,0,Samsung Galaxy S24,intenso,bom
111,24,5.4,0.6,7.0,0,iPhone 15 Pro,moderado,bom
112,27,3.4,1.2,5.8,1,Samsung Galaxy A54,moderado,ruim
113,55,2.5,1.7,7.7,0,OnePlus 11,leve,bom
114,41,3.3,1.9,8.1,0,ASUS Zenfone 10,moderado,bom
115,56,8.8,2.7,6.2,0,iPhone 14,intenso,bom
116,57,9.1,5.3,5.6,1,Google Pixel 8,intenso,ruim
117,62,1.6,0.9,8.0,0,iPhone 14,leve,bom
118,43,2.3,1.5,7.3,0,iPhone 14,leve,bom
119,42,5.0,3.0,7.7,0,Motorola Edge 40,moderado,bom
120,22,6.9,3.7,5.3,1,Google Pixel 8,intenso,ruim
121,51,14.9,7.4,3.8,1,Xiaomi Redmi Note 12,muito_intenso,ruim
122,37,3.5,0.5,7.2,0,Realme 11 Pro,moderado,bom
123,29,4.4,0.6,7.8,0,iPhone 15 Pro,moderado,bom
124,25,2.0,1.1,7.3,0,Xiaomi Redmi Note 12,leve,bom
125,29,6.5,18,5.9,1,Google Pixel 8,intenso,ruim
126,54,1.0,0.8,7.8,0,OnePlus 11,leve,bom
127,63,3.4,,6.1,1,iPhone 15 Pro,moderado,ruim
128,43,2.8,1.9,7.5,0,iPhone 14,leve,bom
129,41,1.3,0.9,7.9,0,iPhone 14,leve,bom
130,31,4.2,0.4,7.5,0,iPhone 14,moderado,bom
131,48,8.1,1.3,7.3,0,Samsung Galaxy S24,intenso,bom
132,31,1.1,0.2,8.7,0,OnePlus 11,leve,bom
133,45,9.0,3.3,6.2,0,Motorola Edge 40,intenso,bom
134,25,4.4,2.3,7.2,0,OnePlus 11,moderado,bom
135,44,,0.4,7.8,0,ASUS Zenfone 10,leve,bom
136,51,14.4,0.6,6.0,0,Realme 11 Pro,muito_intenso,ruim
137,25,12.7,8.3,6.3,0,OnePlus 11,muito_intenso,bom
138,44,4.8,1.5,7.3,0,iPhone 15 Pro,moderado,bom
139,56,6.3,0.6,6.9,0,ASUS Zenfone 10,intenso,bom
140,25,4.7,0.6,7.5,0,iPhone 14,moderado,bom
141,35,8.6,2.3,6.1,1,iPhone 14,intenso,ruim
142,57,8.0,0.2,7.2,1,Samsung Galaxy S24,intenso,ruim
143,20,5.4,2.2,6.6,0,ASUS Zenfone 10,moderado,bom
144,24,6.6,1.0,7.5,0,iPhone 15 Pro,intenso,bom
145,42,5.2,4.0,7.2,0,Samsung Galaxy A54,moderado,bom
146,35,14.7,10.6,4.0,1,Google Pixel 8,muito_intenso,ruim
147,48,5.9,3.9,6.3,0,Realme 11 Pro,moderado,bom
148,22,8.1,0.9,5.5,1,Samsung Galaxy A54,intenso,ruim
149,44,15.6,5.2,4.9,1,Motorola Edge 40,muito_intenso,ruim
150,22,8.6,5.5,5.3,1,OnePlus 11,intenso,ruim
151,44,9.6,0.2,4.1,1,Samsung Galaxy A54,intenso,ruim
152,35,1.1,0.6,6.9,0,Realme 11 Pro,leve,bom
153,52,3.4,1.2,7.1,0,Motorola Edge 40,moderado,bom
154,20,13.3,8.4,4.0,1,iPhone 15 Pro,muito_intenso,ruim
155,38,7.4,4.4,6.8,0,iPhone 15 Pro,intenso,bom
156,38,5.4,0.8,7.0,0,Samsung Galaxy S24,moderado,bom
157,20,9.8,0.4,4.9,1,Google Pixel 8,intenso,ruim
158,50,3.1,1.6,7.7,0,Motorola Edge 40,moderado,bom
159,43,14.5,10.4,5.7,1,iPhone 14,muito_intenso,ruim
160,62,4.3,3.4,6.6,1,OnePlus 11,moderado,ruim
161,54,6.7,2.4,5.2,1,iPhone 15 Pro,intenso,ruim
162,20,7.6,3.2,7.0,0,OnePlus 11,intenso,bom
163,18,1.1,0.6,8.4,0,Motorola Edge 40,leve,bom
164,39,3.2,0.4,7.3,0,iPhone 15 Pro,,bom
165,150,1.8,1.3,7.6,0,ASUS Zenfone 10,leve,bom
166,34,10.0,1.7,6.1,1,Motorola Edge 40,,ruim
167,58,3.2,1.4,8.7,0,Motorola Edge 40,moderado,bom
168,48,6.0,3.8,5.8,1,Realme 11 Pro,,ruim
169,24,6.3,1.6,6.3,0,ASUS Zenfone 10,intenso,bom
170,20,1.3,0.2,8.3,0,Realme 11 Pro,leve,bom
171,56,9.1,1.0,5.7,1,Samsung Galaxy A54,intenso,ruim
172,38,13.1,3.0,3.8,1,iPhone 14,muito_intenso,ruim
173,48,,3.9,4.8,1,iPhone 15 Pro,intenso,ruim
174,17,2.9,1.8,7.1,0,Realme 11 Pro,leve,bom
175,34,7.2,1.5,6.3,0,Samsung Galaxy S24,intenso,bom
176,44,4.4,1.3,7.1,1,Motorola Edge 40,moderado,bom
177,48,7.3,2.8,5.6,1,Samsung Galaxy A54,intenso,ruim
178,26,9.7,5.6,5.0,1,iPhone 14,intenso,ruim
179,41,5.9,1.1,25,0,,moderado,bom
180,34,5.5,2.0,7.2,0,Google Pixel 8,moderado,bom
181,19,6.8,3.1,5.4,1,ASUS Zenfone 10,intenso,ruim
182,23,0.7,0.3,7.7,0,ASUS Zenfone 10,leve,bom
183,48,3.1,0.2,7.3,0,Realme 11 Pro,moderado,bom
184,24,4.8,0.7,7.1,0,Realme 11 Pro,moderado,bom
185,50,4.7,1.8,6.4,1,iPhone 15 Pro,moderado,ruim
186,54,5.9,3.7,7.0,0,Samsung Galaxy S24,moderado,bom
187,49,8.5,5.7,6.3,1,iPhone 15 Pro,intenso,ruim
188,44,3.5,2.0,8.2,0,iPhone 15 Pro,moderado,bom
189,61,1.0,0.3,7.7,0,Realme 11 Pro,leve,bom
190,37,5.0,3.5,7.2,0,Samsung Galaxy A54,moderado,bom
191,33,6.9,5.4,6.1,1,Motorola Edge 40,intenso,ruim
192,51,14.8,3.3,5.5,1,Samsung Galaxy S24,muito_intenso,ruim
193,34,2.9,0.3,7.5,0,Realme 11 Pro,leve,bom
194,33,14.2,1.6,4.8,1,Samsung Galaxy A54,muito_intenso,ruim
195,19,1.3,0.5,7.5,0,OnePlus 11,leve,bom
196,46,9.0,2.1,5.0,1,iPhone 15 Pro,intenso,ruim
197,27,5.5,4.1,6.1,1,Xiaomi Redmi Note 12,moderado,ruim
198,18,1.9,0.3,8.2,0,OnePlus 11,leve,bom
199,24,12.8,2.1,5.0,1,Xiaomi Redmi Note 12,muito_intenso,ruim
200,52,6.8,3.4,6.6,0,Google Pixel 8,intenso,bom
201,58,3.0,1.2,6.9,0,Motorola Edge 40,leve,bom
202,35,8.3,1.8,5.5,1,Xiaomi Redmi Note 12,intenso,ruim
203,60,2.8,0.7,7.7,0,ASUS Zenfone 10,,bom
204,39,4.6,1.8,7.3,0,ASUS Zenfone 10,moderado,bom
205,21,4.6,1.4,7.1,0,Realme 11 Pro,,bom
206,25,2.6,1.0,6.7,0,OnePlus 11,leve,bom
207,19,4.5,1.7,5.9,1,iPhone 15 Pro,moderado,ruim
208,63,3.2,1.1,8.3,0,OnePlus 11,moderado,bom
209,18,3.5,0.5,7.8,0,Google Pixel 8,moderado,bom
210,44,15.4,4.7,4.3,1,Samsung Galaxy S24,muito_intenso,ruim
211,50,3.4,2.7,7.9,0,Realme 11 Pro,moderado,bom
212,43,5.5,1.2,7.7,0,iPhone 14,moderado,bom
213,18,7.7,4.7,6.6,0,ASUS Zenfone 10,intenso,bom
214,59,,3.7,6.3,1,Xiaomi Redmi Note 12,intenso,ruim
215,30,8.9,2.3,6.5,0,Samsung Galaxy S24,intenso,bom
216,58,4.2,1.0,7.3,0,Google Pixel 8,moderado,bom
217,150,5.9,4.5,6.9,0,Samsung Galaxy S24,moderado,bom
218,35,5.3,2.1,7.0,0,iPhone 15 Pro,moderado,bom
219,51,4.2,1.8,7.3,0,OnePlus 11,moderado,bom
220,39,2.3,0.4,7.0,0,Samsung Galaxy A54,leve,bom
221,64,8.7,1.6,6.7,1,iPhone 14,intenso,ruim
222,63,12.9,2.6,,1,Realme 11 Pro,muito_intenso,ruim
223,57,3.8,,6.2,0,Samsung Galaxy A54,moderado,bom
224,39,3.1,2.2,6.6,0,Xiaomi Redmi Note 12,moderado,bom
225,25,1.1,0.5,8.2,0,OnePlus 11,leve,bom
226,62,8.0,1.2,-3,0,Realme 11 Pro,intenso,ruim
227,57,13.1,8.8,5.6,1,Samsung Galaxy A54,muito_intenso,ruim
228,20,6.0,2.5,5.6,1,OnePlus 11,intenso,ruim
229,17,1.9,0.1,7.8,0,Google Pixel 8,leve,bom
230,27,0.7,0.2,8.0,0,Google Pixel 8,leve,bom
231,21,4.2,1.9,7.3,0,iPhone 15 Pro,moderado,bom
232,21,4.1,1.6,8.0,0,Motorola Edge 40,moderado,bom
233,52,15.8,11.3,4.9,0,Xiaomi Redmi Note 12,muito_intenso,ruim
234,18,14.1,3.2,5.2,1,Samsung Galaxy A54,muito_intenso,ruim
235,53,2.6,1.7,7.1,0,Google Pixel 8,leve,bom
236,59,12.0,7.3,5.6,1,Google Pixel 8,muito_intenso,ruim
237,30,7.4,4.6,6.9,0,Xiaomi Redmi Note 12,intenso,bom
238,44,4.1,3.1,7.3,0,ASUS Zenfone 10,moderado,bom
239,34,8.9,0.7,5.5,1,iPhone 14,intenso,ruim
240,21,1.3,0.4,7.1,0,Google Pixel 8,leve,bom
241,22,1.4,0.2,7.5,0,Google Pixel 8,leve,bom
242,65,2.8,2.0,7.8,0,Samsung Galaxy S24,leve,bom
243,33,4.5,0.3,7.1,0,Xiaomi Redmi Note 12,moderado,bom
244,31,8.0,4.0,6.1,1,Motorola Edge 40,,ruim
245,44,5.4,3.7,7.1,0,Motorola Edge 40,moderado,bom
246,27,15.8,3.8,4.5,1,Google Pixel 8,muito_intenso,ruim
247,39,1.9,0.9,6.8,0,OnePlus 11,,bom
248,61,5.4,3.6,5.8,1,Xiaomi Redmi Note 12,moderado,ruim
249,31,3.5,1.2,7.0,0,Realme 11 Pro,moderado,bom
250,48,15.2,5.1,4.4,1,iPhone 14,muito_intenso,ruim
251,65,5.0,0.7,6.9,0,Motorola Edge 40,moderado,bom
252,43,0.7,0.2,7.8,0,Motorola Edge 40,leve,bom
253,41,5.0,2.8,6.8,1,Samsung Galaxy S24,moderado,bom
254,38,4.4,0.8,6.7,0,Motorola Edge 40,moderado,bom
255,20,5.4,0.6,7.1,0,Samsung Galaxy A54,moderado,bom
256,49,0.9,0.4,7.8,0,Google Pixel 8,leve,bom
257,41,2.0,0.4,7.6,0,iPhone 14,leve,bom
258,52,2.7,0.5,7.5,0,Realme 11 Pro,leve,bom
259,56,4.2,1.4,6.7,1,Xiaomi Redmi Note 12,moderado,ruim
260,55,8.7,2.2,5.1,1,ASUS Zenfone 10,intenso,ruim
261,40,4.5,2.0,7.8,0,Samsung Galaxy S24,moderado,bom
262,36,8.5,5.9,6.8,0,Realme 11 Pro,intenso,bom
263,48,7.6,3.0,7.1,0,Samsung Galaxy A54,intenso,bom
264,34,1.1,0.3,7.9,0,Realme 11 Pro,leve,bom
265,23,7.1,3.1,6.9,0,OnePlus 11,intenso,bom
266,50,4.3,2.6,7.2,0,iPhone 14,moderado,bom
267,44,10.7,7.0,5.5,1,Google Pixel 8,muito_intenso,ruim
268,26,9.1,5.9,6.1,0,Samsung Galaxy S24,intenso,bom
269,36,,5.4,6.8,0,Samsung Galaxy S24,muito_intenso,bom
270,64,9.7,7.7,6.0,0,Samsung Galaxy A54,intenso,ruim
271,64,7.6,1.0,6.7,0,iPhone 14,intenso,bom
272,41,3.8,2.9,8.6,0,iPhone 14,moderado,bom
273,62,13.8,7.7,5.0,0,Samsung Galaxy A54,muito_intenso,ruim
274,47,5.5,1.6,6.8,0,iPhone 15 Pro,moderado,bom
275,18,2.5,1.0,9.1,0,Samsung Galaxy A54,leve,bom
276,60,15.3,3.8,5.8,0,Samsung Galaxy S24,muito_intenso,bom
277,19,3.9,2.2,6.6,1,Samsung Galaxy S24,moderado,ruim
278,53,5.0,0.1,7.6,0,Samsung Galaxy S24,moderado,bom
279,46,1.5,0.9,7.9,0,Samsung Galaxy S24,leve,bom
280,57,10.9,4.7,5.3,1,Samsung Galaxy S24,muito_intenso,ruim
281,42,7.8,1.4,6.5,0,,intenso,bom
282,36,7.0,3.6,5.5,1,iPhone 15 Pro,intenso,ruim
283,58,11.2,5.5,5.3,1,Samsung Galaxy A54,muito_intenso,ruim
284,47,3.7,1.9,7.2,1,ASUS Zenfone 10,moderado,bom
285,42,5.0,3.1,7.4,0,Xiaomi Redmi Note 12,moderado,bom
286,29,0.7,0.5,7.5,0,Google Pixel 8,leve,bom
287,21,8.2,1.1,5.0,1,ASUS Zenfone 10,intenso,ruim
288,56,8.6,4.5,5.2,1,Google Pixel 8,intenso,ruim
289,23,4.8,1.3,7.7,0,iPhone 15 Pro,moderado,bom
290,26,4.0,,6.9,0,Xiaomi Redmi Note 12,moderado,bom
291,62,14.6,0.4,6.3,0,ASUS Zenfone 10,muito_intenso,ruim
292,56,1.6,0.5,7.5,0,iPhone 14,leve,bom
293,52,6.5,3.9,6.2,1,Samsung Galaxy S24,intenso,ruim
294,18,9.7,5.8,5.5,1,iPhone 14,intenso,ruim
295,52,4.5,3.3,6.0,1,OnePlus 11,,ruim
296,34,7.2,0.6,6.2,1,Samsung Galaxy A54,intenso,ruim
297,45,5.9,4.7,6.4,0,Samsung Galaxy S24,moderado,bom
298,16,10.1,4.4,5.6,1,Google Pixel 8,muito_intenso,ruim
299,63,6.4,2.8,7.1,1,iPhone 14,intenso,ruim
300,18,15.4,6.5,4.3,1,Samsung Galaxy S24,muito_intenso,ruim
301,56,6.3,2.9,6.4,1,Motorola Edge 40,intenso,ruim
302,36,3.7,2.8,7.2,1,Motorola Edge 40,moderado,ruim
303,42,1.4,0.9,7.9,0,Xiaomi Redmi Note 12,leve,bom
304,61,6.2,4.2,5.4,1,Xiaomi Redmi Note 12,intenso,ruim
305,27,1.5,0.6,-3,0,iPhone 15 Pro,leve,bom
306,19,9.9,1.1,6.1,0,ASUS Zenfone 10,intenso,bom
307,53,5.4,0.2,7.2,1,Motorola Edge 40,moderado,bom
308,23,1.7,0.3,7.7,0,Google Pixel 8,leve,bom
309,27,5.7,1.3,6.3,0,OnePlus 11,moderado,bom
310,42,12.9,1.0,4.9,1,Realme 11 Pro,muito_intenso,ruim
311,17,14.7,4.3,3.9,1,Samsung Galaxy S24,muito_intenso,ruim
312,17,3.7,2.7,6.3,0,Samsung Galaxy A54,moderado,bom
313,26,2.1,0.5,8.3,0,Google Pixel 8,leve,bom
314,38,15.9,2.3,3.9,1,Motorola Edge 40,muito_intenso,ruim
315,52,8.3,1.3,7.1,0,iPhone 14,intenso,bom
316,-5,3.7,1.6,6.9,1,Motorola Edge 40,,bom
317,19,2.0,1.5,8.3,0,Motorola Edge 40,leve,bom
318,61,12.4,1.1,5.2,1,Motorola Edge 40,muito_intenso,ruim
319,27,8.2,5.8,6.3,0,Google Pixel 8,intenso,bom
320,35,7.2,1.1,25,1,ASUS Zenfone 10,intenso,ruim
321,18,1.3,0.9,8.2,0,Motorola Edge 40,leve,bom
322,63,1.4,0.4,8.2,0,Motorola Edge 40,leve,bom
323,44,1.0,0.6,7.8,0,OnePlus 11,leve,bom
324,62,3.5,1.2,6.9,0,ASUS Zenfone 10,moderado,bom
325,57,6.9,2.5,6.7,0,,intenso,bom
326,26,11.0,0.8,7.6,0,iPhone 15 Pro,muito_intenso,bom
327,43,11.0,7.8,5.1,1,Realme 11 Pro,muito_intenso,ruim
328,32,7.2,0.6,5.9,1,iPhone 14,intenso,ruim
329,34,8.5,3.3,4.8,1,Google Pixel 8,intenso,ruim
330,46,5.0,0.5,6.5,0,Xiaomi Redmi Note 12,moderado,bom
331,44,3.7,0.9,6.6,1,Realme 11 Pro,moderado,ruim
332,42,13.5,6.0,5.5,0,OnePlus 11,muito_intenso,ruim
333,52,12.9,0.9,5.1,0,ASUS Zenfone 10,muito_intenso,ruim
334,59,10.9,8.3,6.1,1,iPhone 14,muito_intenso,ruim
335,59,6.0,3.0,7.8,0,iPhone 14,moderado,bom
336,21,4.2,1.2,7.8,0,ASUS Zenfone 10,moderado,bom
337,53,4.3,1.5,6.9,1,ASUS Zenfone 10,moderado,bom
338,65,1.2,0.6,7.5,0,ASUS Zenfone 10,leve,bom
339,46,1.2,0.2,8.6,0,Motorola Edge 40,leve,bom
340,60,5.2,3.8,6.6,0,OnePlus 11,moderado,bom
341,60,9.9,1.9,4.9,1,ASUS Zenfone 10,intenso,ruim
342,57,1.6,1.2,7.4,0,iPhone 15 Pro,leve,bom
343,48,6.3,3.6,5.8,1,Samsung Galaxy A54,intenso,ruim
344,19,4.4,3.2,7.5,0,,moderado,bom
345,59,1.4,0.7,8.2,0,,leve,bom
346,63,6.4,0.2,6.2,1,Samsung Galaxy A54,intenso,ruim
347,33,8.1,5.6,6.5,0,Samsung Galaxy S24,intenso,bom
348,54,6.9,3.4,6.8,0,Google Pixel 8,intenso,bom
349,38,3.7,1.0,7.4,0,Motorola Edge 40,moderado,bom
350,51,8.4,2.1,5.0,1,Xiaomi Redmi Note 12,intenso,ruim
351,28,2.4,1.7,7.1,0,Samsung Galaxy S24,leve,bom
352,62,1.7,0.5,7.7,0,ASUS Zenfone 10,leve,bom
353,28,5.1,2.8,7.6,0,Xiaomi Redmi Note 12,moderado,bom
354,26,9.5,1.5,5.3,1,Motorola Edge 40,intenso,ruim
355,57,1.4,0.9,7.6,0,Xiaomi Redmi Note 12,leve,bom
356,45,20,8.9,5.4,1,Google Pixel 8,muito_intenso,ruim
357,49,3.2,2.2,6.6,1,Motorola Edge 40,moderado,ruim
358,61,0.7,,8.3,0,Samsung Galaxy A54,leve,bom
359,64,8.3,1.1,7.0,0,Google Pixel 8,intenso,bom
360,41,4.4,0.1,8.1,0,Realme 11 Pro,moderado,bom
361,28,0.5,0.3,8.8,0,Xiaomi Redmi Note 12,leve,bom
362,26,0.6,0.5,7.5,0,Samsung Galaxy S24,leve,bom
363,37,12.9,7.8,5.2,1,Samsung Galaxy A54,muito_intenso,ruim
364,62,1.8,0.3,7.3,0,Realme 11 Pro,leve,bom
365,55,3.0,1.6,6.8,0,Realme 11 Pro,leve,bom
366,32,3.5,2.0,7.1,0,Xiaomi Redmi Note 12,moderado,bom
367,55,6.5,4.3,6.5,1,Samsung Galaxy A54,intenso,ruim
368,54,1.2,0.5,7.8,0,OnePlus 11,leve,bom
369,29,7.9,1.6,4.8,1,Realme 11 Pro,intenso,ruim
370,20,6.4,1.4,6.9,1,iPhone 15 Pro,intenso,bom
371,34,5.0,1.8,6.5,1,Motorola Edge 40,moderado,bom
372,38,15.7,3.4,5.0,1,OnePlus 11,muito_intenso,ruim
373,33,8.8,3.4,6.2,1,Samsung Galaxy S24,intenso,bom
374,22,4.8,3.1,6.9,0,Samsung Galaxy S24,moderado,bom
375,46,10.7,3.6,5.3,1,ASUS Zenfone 10,muito_intenso,ruim
376,62,9.9,5.3,5.7,1,Samsung Galaxy A54,intenso,ruim
377,46,5.0,1.6,7.4,0,Samsung Galaxy S24,moderado,bom
378,48,9.4,6.6,5.9,1,Samsung Galaxy A54,intenso,ruim
379,51,7.6,1.5,6.1,1,iPhone 14,intenso,ruim
380,47,6.1,2.0,6.0,1,Xiaomi Redmi Note 12,intenso,ruim
381,48,8.6,3.2,5.5,1,ASUS Zenfone 10,intenso,ruim
382,54,,2.9,6.1,1,Xiaomi Redmi Note 12,moderado,ruim
383,51,5.1,0.3,6.0,1,Samsung Galaxy A54,,ruim
384,23,12.4,4.6,4.7,1,ASUS Zenfone 10,muito_intenso,ruim
385,23,7.8,4.1,6.3,0,Google Pixel 8,intenso,bom
386,53,4.5,3.3,6.3,1,ASUS Zenfone 10,,ruim
387,54,13.0,4.1,6.5,0,Xiaomi Redmi Note 12,muito_intenso,bom
