@relation smartphone_sleep_quality

@attribute idade NUMERIC
@attribute genero {masculino,feminino}
@attribute horas_uso_diario NUMERIC
@attribute tempo_redes_sociais NUMERIC
@attribute horas_sono NUMERIC
@attribute uso_madrugada {0,1}
@attribute atividade_fisica {alta,moderada,baixa}
@attribute ocupacao {advogado,analista,aposentado,autonomo,desempregado,enfermeiro,engenheiro,estudante,freelancer,gerente,influencer,medico,professor}
@attribute modelo_dispositivo {Asus ROG Phone 7,Google Pixel 7,Huawei P60,Motorola Edge 40,OnePlus 11,Realme 10 Pro,Samsung Galaxy A54,Samsung Galaxy S23,Xiaomi Redmi Note 12,iPhone 13,iPhone 14,iPhone 15 Pro}
@attribute nivel_estresse NUMERIC
@attribute consumo_energia NUMERIC
@attribute despertares_noturnos NUMERIC
@attribute notificacoes_diarias NUMERIC
@attribute luminosidade_ambiente NUMERIC
@attribute insonia {0,1}
@attribute uso_apps_produtividade {0,1}
@attribute nivel_uso {baixo,moderado,alto}
@attribute qualidade_sono {bom,ruim}

@data
29,feminino,20.0,?,7.3,0,alta,autonomo,Realme 10 Pro,4.7,1.2,1,44,394.7,0,1,baixo,bom
32,masculino,8.5,5.9,6.0,0,baixa,desempregado,iPhone 15 Pro,6.1,8.1,2,394,470.2,1,1,alto,ruim
44,feminino,5.9,1.3,6.0,0,moderada,analista,Realme 10 Pro,6.4,4.3,3,196,443.0,1,1,moderado,bom
22,feminino,6.1,3.0,7.8,0,alta,estudante,iPhone 13,7.9,6.8,1,69,496.4,0,0,moderado,ruim
24,feminino,4.8,2.5,7.4,0,baixa,estudante,Motorola Edge 40,6.3,5.4,3,123,485.5,0,1,moderado,ruim
21,masculino,5.8,3.2,6.6,1,moderada,estudante,OnePlus 11,5.5,6.8,2,106,255.7,0,1,moderado,ruim
25,masculino,4.8,2.9,5.7,0,moderada,estudante,Samsung Galaxy A54,7.9,5.0,3,74,414.6,0,1,moderado,bom
23,masculino,8.9,2.2,5.5,1,baixa,autonomo,Google Pixel 7,6.4,7.3,4,155,490.9,1,0,alto,ruim
38,feminino,8.6,5.0,6.2,1,baixa,influencer,Motorola Edge 40,9.2,5.1,4,?,449.8,1,1,alto,ruim
24,masculino,4.6,2.7,5.5,1,baixa,estudante,Samsung Galaxy S23,8.5,5.1,2,115,221.9,0,0,moderado,ruim
20,masculino,9.2,3.8,4.7,1,moderada,estudante,Google Pixel 7,4.1,7.7,1,207,466.2,1,0,alto,ruim
30,feminino,2.6,1.0,9.0,0,alta,enfermeiro,Huawei P60,3.6,1.6,0,38,219.2,0,0,baixo,bom
21,masculino,5.9,4.5,6.8,1,baixa,estudante,iPhone 14,7.1,4.8,2,138,262.1,1,0,moderado,bom
27,feminino,11.9,5.6,4.1,1,moderada,autonomo,Realme 10 Pro,6.1,5.9,2,385,307.9,1,0,alto,ruim
33,feminino,8.6,5.0,6.2,0,moderada,influencer,Motorola Edge 40,8.7,5.8,3,463,305.2,1,1,alto,ruim
32,masculino,5.1,2.8,6.6,0,moderada,analista,Xiaomi Redmi Note 12,7.8,5.1,2,222,365.6,0,1,moderado,bom
24,feminino,8.3,3.5,7.7,0,moderada,estudante,Xiaomi Redmi Note 12,7.0,6.0,3,116,287.2,0,1,moderado,ruim
28,masculino,10.1,3.5,5.1,1,baixa,autonomo,Samsung Galaxy S23,5.6,6.0,3,103,456.0,1,0,alto,ruim
19,masculino,9.0,2.7,5.7,1,moderada,autonomo,iPhone 14,4.7,7.0,12,212,498.1,1,0,alto,ruim
39,feminino,3.7,1.0,?,0,moderada,professor,iPhone 15 Pro,2.1,1.8,1,23,248.9,0,1,baixo,bom
17,feminino,10.4,2.5,5.4,1,baixa,desempregado,iPhone 14,7.2,6.8,2,209,544.4,1,0,alto,ruim
25,feminino,4.9,3.6,7.6,0,baixa,estudante,OnePlus 11,7.9,5.5,3,186,458.7,0,1,moderado,bom
25,masculino,5.0,1.1,7.9,0,alta,autonomo,Asus ROG Phone 7,2.6,1.3,0,67,323.5,0,1,baixo,bom
-10,masculino,9.2,7.8,5.4,0,baixa,autonomo,OnePlus 11,6.6,7.3,5,523,564.7,0,0,alto,ruim
32,feminino,9.8,10.0,4.0,1,baixa,desempregado,Xiaomi Redmi Note 12,5.3,5.0,2,253,315.0,1,0,alto,ruim
38,feminino,4.7,?,6.5,1,baixa,analista,Motorola Edge 40,8.1,6.4,1,373,213.5,1,1,moderado,ruim
25,masculino,5.3,3.8,7.9,0,?,estudante,iPhone 14,5.7,7.0,1,191,459.9,0,1,moderado,ruim
28,feminino,2.6,1.3,?,0,baixa,professor,Asus ROG Phone 7,4.8,4.0,0,43,327.5,0,1,baixo,bom
34,feminino,5.7,2.2,?,1,alta,engenheiro,Google Pixel 7,6.4,7.6,3,358,442.9,0,1,moderado,ruim
28,feminino,9.6,6.9,5.5,1,baixa,autonomo,Huawei P60,6.3,8.4,-3,318,537.0,0,0,alto,ruim
36,feminino,4.6,1.3,8.3,0,moderada,professor,Google Pixel 7,2.7,3.8,0,61,156.8,0,0,baixo,bom
37,feminino,12.9,4.9,6.7,1,baixa,autonomo,Huawei P60,6.0,6.1,4,493,552.7,1,0,alto,ruim
40,feminino,4.3,1.0,8.9,0,moderada,enfermeiro,iPhone 13,2.3,3.8,1,24,190.3,0,1,baixo,bom
22,masculino,7.3,9.4,6.9,0,moderada,influencer,Motorola Edge 40,8.0,5.1,2,394,495.5,0,0,alto,ruim
20,masculino,6.1,3.4,?,0,baixa,estudante,Motorola Edge 40,8.4,6.1,1,78,547.2,0,1,moderado,bom
52,masculino,7.8,2.5,5.9,0,moderada,analista,Xiaomi Redmi Note 12,6.1,6.6,2,359,342.0,0,1,moderado,bom
24,masculino,8.2,4.3,6.9,1,moderada,estudante,Huawei P60,8.9,3.7,2,60,439.3,0,1,moderado,bom
19,feminino,9.9,2.0,5.2,1,alta,estudante,Realme 10 Pro,5.9,6.7,2,294,688.8,0,0,alto,bom
28,masculino,10.5,1.4,4.2,1,baixa,autonomo,Samsung Galaxy A54,4.8,5.4,4,287,429.0,0,0,alto,ruim
24,feminino,5.6,4.9,5.6,0,baixa,estudante,iPhone 15 Pro,5.7,3.4,2,158,212.6,0,1,moderado,ruim
29,masculino,11.3,?,5.0,0,baixa,desempregado,Motorola Edge 40,7.4,8.1,3,224,365.6,1,0,alto,ruim
45,feminino,6.1,1.7,5.9,0,?,medico,OnePlus 11,6.1,4.6,1,295,299.7,0,1,moderado,ruim
23,feminino,9.5,6.0,6.5,1,alta,autonomo,Realme 10 Pro,6.7,6.4,3,792,316.0,0,0,alto,ruim
29,feminino,12.2,9.5,5.3,1,baixa,autonomo,Huawei P60,6.5,6.9,5,341,610.4,1,0,alto,ruim
21,masculino,8.5,1.2,4.9,1,baixa,autonomo,Realme 10 Pro,6.3,6.7,1,?,524.9,1,0,alto,ruim
27,feminino,9.4,6.2,4.7,0,baixa,desempregado,iPhone 15 Pro,6.8,7.7,2,469,535.2,0,0,alto,ruim
32,masculino,3.1,1.0,8.6,0,alta,autonomo,Samsung Galaxy A54,2.6,1.3,0,23,259.4,0,1,baixo,bom
21,masculino,5.6,3.5,5.1,1,alta,estudante,Realme 10 Pro,7.7,3.1,1,196,432.0,1,1,moderado,ruim
35,feminino,28.0,0.6,8.9,0,alta,professor,Samsung Galaxy S23,4.2,1.5,0,77,176.6,0,0,baixo,bom
18,feminino,8.2,4.6,7.3,1,baixa,estudante,Motorola Edge 40,7.7,3.9,2,115,460.5,1,1,moderado,bom
20,masculino,10.4,7.5,6.3,1,?,influencer,iPhone 14,7.6,6.3,4,432,604.9,0,0,alto,ruim
18,feminino,4.0,3.0,6.1,1,baixa,estudante,Huawei P60,7.2,5.4,2,122,205.9,0,1,moderado,bom
48,masculino,5.7,2.9,6.7,0,alta,gerente,Huawei P60,6.4,6.1,1,243,318.3,0,1,moderado,bom
30,masculino,10.6,7.6,4.2,0,moderada,freelancer,Motorola Edge 40,9.7,6.4,2,320,402.7,1,0,alto,ruim
22,feminino,7.1,4.1,5.8,0,moderada,estudante,Google Pixel 7,5.5,6.4,3,85,318.1,0,1,moderado,bom
21,feminino,10.9,2.1,5.1,1,baixa,autonomo,Samsung Galaxy A54,6.1,6.4,4,?,469.9,1,0,alto,ruim
36,feminino,2.9,16.9,8.7,0,moderada,autonomo,Motorola Edge 40,2.4,2.3,0,34,360.8,0,1,baixo,bom
36,feminino,4.0,?,5.5,0,moderada,gerente,iPhone 14,6.8,6.4,3,?,333.7,0,1,moderado,ruim
41,masculino,3.0,?,8.5,0,moderada,aposentado,Xiaomi Redmi Note 12,3.2,2.1,0,57,232.7,0,0,baixo,ruim
28,feminino,10.6,8.4,4.7,1,baixa,autonomo,OnePlus 11,6.5,6.5,5,467,433.4,1,1,alto,bom
45,masculino,3.9,1.8,5.8,0,moderada,advogado,Realme 10 Pro,8.4,7.7,1,219,245.7,0,0,moderado,bom
24,feminino,7.1,2.3,7.3,1,baixa,estudante,Samsung Galaxy A54,5.6,3.3,1,91,336.7,0,1,moderado,ruim
35,masculino,2.8,1.4,8.7,0,moderada,autonomo,Samsung Galaxy A54,3.7,2.2,-2,43,261.9,0,0,baixo,bom
47,feminino,4.1,2.6,5.6,1,?,engenheiro,iPhone 14,8.9,6.3,3,272,343.8,1,1,moderado,ruim
52,masculino,4.6,2.9,6.7,0,moderada,medico,iPhone 14,7.5,4.9,1,333,236.6,0,0,moderado,bom
-1,masculino,3.0,1.0,6.2,0,moderada,medico,Xiaomi Redmi Note 12,6.6,4.8,2,326,385.8,1,1,moderado,ruim
30,masculino,4.3,1.4,6.4,0,baixa,gerente,iPhone 13,7.8,5.2,2,258,327.8,1,0,moderado,ruim
28,feminino,3.2,1.3,8.5,0,alta,enfermeiro,Google Pixel 7,3.3,3.4,1,60,156.9,0,1,baixo,bom
32,feminino,8.4,?,5.1,1,baixa,autonomo,Motorola Edge 40,7.1,5.6,2,452,397.4,0,0,alto,ruim
42,feminino,4.9,0.6,7.2,0,moderada,enfermeiro,Huawei P60,2.2,1.8,1,35,334.4,0,1,baixo,bom
24,feminino,12.3,?,6.6,1,alta,influencer,iPhone 13,5.2,5.2,4,595,620.9,1,1,alto,ruim
130,masculino,11.9,3.9,5.9,1,baixa,autonomo,iPhone 13,6.2,7.3,1,173,433.0,0,0,alto,ruim
19,masculino,7.3,2.0,5.8,1,moderada,estudante,Asus ROG Phone 7,7.1,3.2,3,171,317.1,0,1,moderado,bom
39,masculino,4.0,?,7.7,0,alta,professor,Realme 10 Pro,3.3,2.3,1,76,172.2,0,1,baixo,bom
23,feminino,8.1,4.6,7.5,0,moderada,estudante,iPhone 13,8.9,6.0,2,?,221.5,0,0,moderado,ruim
22,masculino,4.5,4.1,5.3,0,baixa,estudante,OnePlus 11,8.4,5.9,2,142,403.3,1,1,moderado,bom
51,masculino,6.8,1.3,5.9,1,moderada,medico,Xiaomi Redmi Note 12,9.0,4.4,2,340,261.2,0,1,moderado,bom
-1,masculino,10.7,2.7,4.0,1,baixa,estudante,Asus ROG Phone 7,7.8,5.5,2,112,522.2,0,0,alto,ruim
24,masculino,12.3,8.0,5.2,1,moderada,estudante,iPhone 15 Pro,7.5,6.4,5,?,535.3,1,0,alto,ruim
31,masculino,11.4,6.4,6.0,0,baixa,influencer,Xiaomi Redmi Note 12,8.0,5.3,2,266,614.0,0,0,alto,ruim
33,feminino,3.0,0.9,7.2,0,alta,autonomo,Google Pixel 7,4.2,1.9,-1,58,248.8,0,0,baixo,bom
-10,masculino,7.8,1.4,6.1,0,moderada,engenheiro,Samsung Galaxy S23,7.8,6.3,3,378,434.8,1,0,moderado,ruim
150,feminino,5.4,1.9,6.9,0,baixa,analista,Xiaomi Redmi Note 12,7.3,6.9,3,147,383.1,1,1,moderado,bom
29,feminino,6.3,1.8,?,1,moderada,autonomo,Samsung Galaxy A54,5.7,7.4,2,?,741.2,1,0,alto,ruim
37,feminino,6.9,1.2,5.5,0,baixa,medico,iPhone 15 Pro,8.5,7.2,2,248,493.9,1,1,moderado,ruim
26,feminino,25.0,7.9,4.5,1,moderada,freelancer,iPhone 15 Pro,6.4,7.7,4,493,391.0,1,0,alto,ruim
23,masculino,7.4,?,4.9,1,baixa,estudante,iPhone 14,4.4,7.4,2,244,516.2,0,1,alto,ruim
39,masculino,11.0,5.4,6.6,1,moderada,influencer,Samsung Galaxy A54,6.1,5.5,4,206,402.2,0,0,alto,ruim
36,masculino,2.3,0.8,7.6,0,moderada,autonomo,Motorola Edge 40,3.4,2.2,0,46,158.7,0,1,baixo,bom
40,feminino,2.9,1.1,7.4,0,alta,aposentado,Motorola Edge 40,3.7,1.5,1,41,369.2,0,1,baixo,bom
25,feminino,4.2,1.3,7.6,0,baixa,autonomo,Asus ROG Phone 7,4.4,2.5,1,45,395.2,0,0,baixo,bom
28,masculino,7.0,1.0,5.1,1,moderada,autonomo,iPhone 15 Pro,4.3,6.9,1,268,727.6,0,0,alto,ruim
21,masculino,6.3,3.1,6.5,0,moderada,estudante,iPhone 15 Pro,6.0,3.5,1,160,368.0,0,0,moderado,ruim
24,masculino,9.5,3.2,5.6,1,baixa,estudante,Motorola Edge 40,7.0,4.4,2,80,672.7,1,0,alto,bom
17,feminino,9.0,9.3,4.6,1,baixa,estudante,iPhone 13,6.6,8.0,5,339,623.0,1,0,alto,ruim
24,feminino,4.8,3.2,6.1,1,moderada,estudante,Xiaomi Redmi Note 12,6.7,6.2,2,62,368.6,1,0,moderado,ruim
34,masculino,13.0,6.8,6.5,0,baixa,autonomo,Google Pixel 7,8.5,7.1,4,307,387.4,1,1,alto,ruim
29,masculino,4.4,2.6,5.1,0,baixa,gerente,Motorola Edge 40,6.2,7.5,3,199,302.1,0,1,moderado,bom
24,feminino,6.1,2.8,7.4,0,baixa,estudante,Motorola Edge 40,5.9,5.0,3,133,213.1,0,1,moderado,bom
25,masculino,2.2,1.4,7.9,0,alta,aposentado,Samsung Galaxy A54,3.8,2.9,1,1000,171.2,0,1,baixo,bom
21,masculino,8.8,3.8,7.2,0,baixa,estudante,Samsung Galaxy A54,8.6,3.0,1,?,563.0,1,1,moderado,ruim
21,masculino,6.3,3.3,6.4,0,baixa,estudante,Samsung Galaxy S23,5.0,3.9,1,?,335.5,0,1,moderado,ruim
21,masculino,9.4,?,5.9,1,baixa,influencer,OnePlus 11,8.5,7.0,4,795,352.6,1,0,alto,ruim
39,masculino,6.6,2.2,5.6,0,alta,analista,iPhone 13,6.0,6.5,1,177,217.9,0,1,moderado,ruim
21,masculino,8.2,1.4,4.8,1,baixa,autonomo,Xiaomi Redmi Note 12,5.4,7.8,3,?,544.8,0,1,alto,ruim
33,masculino,12.2,8.6,4.4,0,baixa,desempregado,Realme 10 Pro,8.3,7.8,4,469,333.8,1,0,alto,ruim
33,feminino,7.1,1.1,5.8,0,baixa,medico,OnePlus 11,7.6,7.4,2,167,315.3,0,1,moderado,bom
18,masculino,4.1,3.1,5.1,1,baixa,estudante,iPhone 14,5.7,4.7,1,184,338.4,1,1,moderado,bom
28,feminino,7.4,7.0,4.9,1,moderada,autonomo,Motorola Edge 40,7.3,7.2,-1,300,688.8,1,0,alto,ruim
17,feminino,7.3,3.8,4.8,1,baixa,estudante,iPhone 13,5.2,7.6,1,290,525.6,0,0,alto,bom
54,feminino,7.8,1.8,5.8,0,baixa,medico,Asus ROG Phone 7,7.7,6.2,3,350,332.1,1,1,moderado,ruim
17,feminino,8.6,9.8,5.7,1,baixa,desempregado,Xiaomi Redmi Note 12,5.6,8.3,2,669,593.8,1,0,alto,ruim
21,masculino,4.7,4.6,7.1,0,moderada,estudante,Google Pixel 7,8.6,5.9,2,181,252.3,0,1,moderado,bom
30,masculino,4.8,0.6,7.9,0,alta,aposentado,Samsung Galaxy A54,3.8,2.1,0,32,328.5,0,1,baixo,bom
22,masculino,8.9,3.2,7.5,0,baixa,estudante,Xiaomi Redmi Note 12,5.8,3.4,3,121,538.8,0,1,moderado,bom
28,masculino,11.8,7.7,4.1,1,moderada,freelancer,Xiaomi Redmi Note 12,8.8,5.5,3,275,621.8,1,1,alto,bom
28,masculino,6.4,2.7,5.6,1,baixa,gerente,iPhone 13,8.2,4.6,3,330,397.6,0,1,moderado,bom
17,feminino,7.5,7.0,5.2,1,baixa,influencer,Huawei P60,7.3,7.8,2,260,647.6,0,1,alto,ruim
29,feminino,2.4,1.2,8.3,0,moderada,autonomo,Realme 10 Pro,2.9,1.5,10,21,275.0,0,1,baixo,bom
16,feminino,8.5,3.3,4.4,1,moderada,autonomo,iPhone 15 Pro,7.3,6.2,3,195,585.3,1,0,alto,ruim
31,feminino,13.5,6.9,5.2,1,moderada,influencer,iPhone 14,8.9,6.1,3,185,375.6,0,0,alto,ruim
25,masculino,6.3,3.0,7.8,1,alta,estudante,Asus ROG Phone 7,6.4,4.1,3,103,515.6,0,1,moderado,bom
32,masculino,2.3,1.2,8.0,0,moderada,aposentado,OnePlus 11,2.0,1.5,1,59,389.8,0,0,baixo,bom
20,feminino,7.9,3.9,5.1,1,alta,estudante,Huawei P60,8.5,4.9,1,148,508.3,1,0,moderado,ruim
26,feminino,11.3,6.9,6.6,0,moderada,desempregado,OnePlus 11,7.4,6.2,2,590,595.4,1,0,alto,ruim
23,feminino,8.5,2.9,6.1,1,moderada,estudante,iPhone 15 Pro,7.2,3.4,3,?,564.4,0,0,moderado,bom
16,masculino,8.0,3.7,4.5,1,moderada,autonomo,Huawei P60,5.6,7.0,2,138,487.9,1,0,alto,ruim
30,feminino,4.8,1.4,5.9,0,moderada,analista,OnePlus 11,7.0,5.5,1,189,393.9,0,1,moderado,ruim
37,masculino,12.7,5.8,5.2,1,?,autonomo,iPhone 14,8.4,6.9,2,385,532.9,0,1,alto,ruim
28,masculino,10.4,8.9,4.6,0,?,estudante,iPhone 15 Pro,8.4,6.3,3,788,510.9,0,1,alto,ruim
31,masculino,9.0,8.6,5.6,1,moderada,autonomo,Samsung Galaxy S23,8.7,7.0,2,226,466.3,1,0,alto,ruim
25,masculino,7.1,4.8,7.3,0,moderada,estudante,Xiaomi Redmi Note 12,5.7,4.8,1,66,537.5,0,0,moderado,bom
24,masculino,9.2,7.8,7.0,0,alta,autonomo,Huawei P60,7.0,6.7,4,175,548.9,0,1,alto,ruim
25,masculino,8.8,3.6,7.9,0,moderada,estudante,Realme 10 Pro,8.1,4.2,1,124,512.5,0,0,moderado,bom
22,masculino,7.9,3.1,6.7,0,moderada,estudante,iPhone 15 Pro,6.3,6.4,3,73,371.5,1,1,moderado,bom
27,feminino,3.2,1.4,9.0,1,moderada,professor,Xiaomi Redmi Note 12,3.2,3.3,1,77,273.1,0,0,baixo,bom
23,masculino,9.9,1.7,4.4,0,baixa,autonomo,Google Pixel 7,4.9,4.2,1,118,746.7,1,0,alto,ruim
22,masculino,9.1,3.3,4.6,1,moderada,desempregado,iPhone 15 Pro,7.6,5.7,4,?,599.0,1,0,alto,ruim
31,masculino,2.6,0.6,7.1,0,alta,autonomo,Realme 10 Pro,4.5,1.1,1,66,205.8,0,1,baixo,bom
18,feminino,8.7,3.2,6.6,0,baixa,estudante,Huawei P60,7.1,3.2,3,91,321.7,0,1,moderado,ruim
29,masculino,8.3,8.3,6.2,0,baixa,autonomo,iPhone 13,7.9,8.3,2,422,660.8,0,0,alto,ruim
21,masculino,7.3,2.2,6.6,0,moderada,estudante,Asus ROG Phone 7,6.1,5.5,2,110,579.7,0,1,moderado,bom
40,masculino,2.5,1.5,?,0,alta,autonomo,Google Pixel 7,4.4,1.4,0,71,203.4,1,1,baixo,bom
24,masculino,8.9,4.5,6.3,0,baixa,influencer,Samsung Galaxy S23,7.2,6.9,4,285,662.6,1,0,alto,ruim
31,masculino,12.1,5.5,5.7,1,moderada,estudante,Samsung Galaxy S23,7.2,6.7,3,489,347.4,0,0,alto,bom
19,masculino,8.0,4.0,6.9,1,baixa,estudante,Asus ROG Phone 7,8.2,4.0,2,140,533.1,0,1,moderado,bom
29,masculino,4.4,1.6,5.7,0,moderada,gerente,Huawei P60,7.2,4.3,3,185,329.8,0,1,moderado,ruim
38,masculino,6.2,2.3,6.3,0,?,medico,Realme 10 Pro,9.0,5.3,3,?,203.4,0,0,moderado,ruim
22,masculino,6.8,2.6,6.7,1,baixa,estudante,OnePlus 11,6.1,3.8,2,?,315.0,0,0,moderado,bom
30,feminino,7.8,1.6,5.2,0,baixa,analista,iPhone 13,6.0,7.9,1,302,412.0,0,1,moderado,ruim
31,masculino,13.7,?,4.5,0,moderada,influencer,iPhone 13,6.8,7.4,4,388,463.3,1,0,alto,ruim
22,masculino,8.4,3.5,4.4,1,alta,estudante,iPhone 15 Pro,4.0,5.7,1,244,765.8,1,0,alto,ruim
26,feminino,9.5,2.8,?,1,moderada,desempregado,Samsung Galaxy S23,7.3,4.2,4,86,542.4,1,1,alto,bom
20,masculino,7.3,2.8,?,1,baixa,autonomo,Samsung Galaxy A54,5.5,6.0,2,253,559.0,0,0,alto,bom
30,masculino,3.3,0.7,8.6,0,moderada,professor,Samsung Galaxy A54,4.6,1.1,1,44,362.1,0,0,baixo,bom
42,feminino,6.9,1.8,-1.4,0,baixa,medico,Motorola Edge 40,7.8,5.6,2,108,263.0,1,1,moderado,ruim
21,masculino,4.6,3.5,7.4,0,baixa,estudante,Xiaomi Redmi Note 12,8.3,5.7,1,100,323.9,1,1,moderado,ruim
20,feminino,8.1,?,5.9,0,alta,estudante,Motorola Edge 40,7.5,4.5,1,92,327.4,0,1,moderado,bom
31,masculino,4.4,1.4,7.7,0,alta,autonomo,Samsung Galaxy A54,2.9,2.4,0,63,215.4,0,1,baixo,bom
28,masculino,10.7,1.9,-1.4,1,baixa,autonomo,Xiaomi Redmi Note 12,5.0,5.4,1,?,607.7,0,0,alto,ruim
38,feminino,4.1,2.9,6.2,0,baixa,gerente,Xiaomi Redmi Note 12,8.0,5.6,3,161,298.3,0,1,moderado,ruim
43,masculino,3.5,1.4,7.9,0,alta,professor,iPhone 13,4.3,3.0,1,77,332.9,0,0,baixo,bom
21,masculino,7.3,3.1,5.8,1,?,estudante,Asus ROG Phone 7,7.5,4.8,1,?,612.6,0,0,alto,ruim
21,feminino,6.0,3.9,5.0,1,moderada,estudante,Realme 10 Pro,8.5,4.6,2,195,226.6,0,1,moderado,ruim
27,masculino,12.0,2.7,4.6,1,baixa,desempregado,OnePlus 11,5.5,5.9,3,224,683.5,1,0,alto,ruim
21,feminino,8.0,4.3,6.6,1,baixa,estudante,iPhone 15 Pro,7.2,5.1,2,154,503.4,1,1,moderado,bom
38,masculino,4.7,1.8,?,0,baixa,medico,iPhone 15 Pro,8.7,6.3,2,146,342.2,0,1,moderado,ruim
26,feminino,9.3,5.7,6.7,1,baixa,autonomo,iPhone 15 Pro,8.8,6.5,5,380,618.5,1,0,alto,ruim
33,masculino,8.9,6.3,4.6,1,baixa,desempregado,OnePlus 11,6.1,7.6,5,666,604.3,1,1,alto,ruim
32,feminino,2.1,?,7.1,0,alta,professor,Huawei P60,2.1,3.0,0,73,366.4,0,0,baixo,bom
24,masculino,5.2,3.7,5.2,1,alta,estudante,Google Pixel 7,8.7,6.2,3,60,386.3,0,1,moderado,ruim
44,masculino,4.5,0.9,7.0,0,alta,enfermeiro,Samsung Galaxy A54,2.1,3.7,1,38,139.8,0,1,baixo,bom
23,feminino,9.3,5.3,5.9,0,moderada,estudante,Google Pixel 7,7.3,7.3,5,427,448.6,0,0,alto,ruim
24,feminino,12.2,7.3,6.8,1,moderada,estudante,iPhone 14,6.4,8.5,2,?,552.7,1,0,alto,bom
18,masculino,7.7,?,6.2,1,moderada,estudante,iPhone 14,7.7,6.3,1,62,511.6,0,1,moderado,bom
-1,masculino,5.7,2.0,5.8,0,baixa,analista,Motorola Edge 40,6.2,7.0,1,278,410.8,1,1,moderado,bom
44,feminino,6.5,2.2,6.0,0,baixa,engenheiro,iPhone 13,8.4,7.5,1,160,264.9,0,1,moderado,bom
29,masculino,6.8,2.0,4.9,1,baixa,autonomo,Xiaomi Redmi Note 12,6.2,7.2,2,116,590.0,1,0,alto,ruim
22,masculino,11.9,1.5,4.2,1,baixa,desempregado,Realme 10 Pro,4.9,4.1,4,160,541.5,1,0,alto,ruim
25,masculino,4.4,5.0,5.8,1,baixa,estudante,Google Pixel 7,7.3,6.2,1,141,402.2,1,1,moderado,ruim
34,feminino,3.4,0.8,8.6,0,alta,professor,Samsung Galaxy A54,4.2,2.7,1,66,358.7,0,1,baixo,bom
34,masculino,9.2,6.0,5.5,0,baixa,desempregado,Samsung Galaxy A54,8.4,6.4,5,?,431.3,1,0,alto,ruim
19,masculino,8.1,7.8,5.7,1,moderada,desempregado,Huawei P60,7.2,6.5,4,284,528.4,1,0,alto,ruim
18,masculino,7.7,3.8,5.9,1,?,autonomo,Xiaomi Redmi Note 12,7.8,7.6,2,240,629.3,1,0,alto,ruim
-5,feminino,6.6,14.7,7.3,0,baixa,estudante,Samsung Galaxy S23,7.5,6.0,1,124,340.5,1,1,moderado,bom
18,feminino,5.0,2.7,7.7,0,baixa,estudante,Asus ROG Phone 7,7.8,5.5,3,131,481.6,0,1,moderado,bom
40,masculino,6.8,1.1,6.3,0,baixa,advogado,iPhone 15 Pro,8.3,4.5,2,183,455.9,0,0,moderado,bom
30,feminino,9.0,7.3,6.3,0,baixa,influencer,Huawei P60,6.5,8.2,3,650,350.2,0,1,alto,ruim
26,masculino,9.3,5.3,4.1,0,baixa,estudante,Samsung Galaxy S23,5.9,6.4,2,776,567.1,0,0,alto,ruim
